具体地址,小区名称,格局,总价,每平米价格,朝向,面积,楼层,装修,房屋结构
龙塔,宣智街,2室1厅,47,7595,南 北,61.89,7,简装,板楼
哈西商圈,尚熙雅轩,2室1厅,129.8,13634,南 北,95.21,32,精装,板楼
西大桥商圈,清滨路,2室1厅,39.5,6724,东南,58.75,6,简装,板楼
西大桥商圈,二酉街,2室1厅,41.8,9036,东,46.26,7,精装,板楼
南岗分局十三中,华山小区,2室1厅,50,8475,南 北 西,59,6,简装,板楼
哈特百脑汇教化工大,贵新小区,2室1厅,99.8,15695,西南,63.59,29,简装,塔楼
西大桥商圈,清滨路,2室2厅,55,5390,南 北,102.05,8,简装,板楼
西大桥商圈,电车小区,2室1厅,66,8800,南 北,75,7,简装,板楼
西大桥商圈,汉祥家园,2室1厅,60,9678,南 北,62,7,简装,板楼
哈西商圈,鸿朗花园南区,2室1厅,71.7,10243,东 南,70,7,精装,暂无数据
革新教堂,革新街,2室1厅,56,8889,南 北,63,9,简装,板楼
儿童公园,人和胡同,2室0厅,45,8606,东 西,52.29,7,简装,板楼
南岗会展商圈,信恒现代城,1室1厅,71.6,12345,南,58,19,其他,板塔结合
哈西商圈,枫蓝国际,2室1厅,94.8,12770,南,74.24,33,其他,板楼
南岗分局十三中,中植方洲苑,3室2厅,140,10087,南 北,138.8,7,简装,板楼
西大桥商圈,世纪嘉园(南岗区),2室1厅,110,14514,西,75.79,27,精装,板楼
南岗分局十三中,中植方洲苑,4室2厅,128,6214,东 西,206,7,简装,板楼
哈西商圈,纳帕英郡,3室2厅,219.8,17584,南 北,125,33,精装,板楼
哈特百脑汇教化工大,贵新小区,2室1厅,88,11949,东南,73.65,29,简装,塔楼
师大附小沙曼小区,学府名苑(南岗区),3室1厅,120,10605,南 北 西,113.16,7,简装,板楼
南岗会展商圈,红旗示范新区,3室1厅,135,11170,东 南 北,120.86,7,精装,板楼
革新教堂,士课街(巴山街),2室1厅,44.5,9854,南,45.16,7,精装,板楼
王岗商圈,红星凯悦,2室1厅,48,7059,南 北,68,13,毛坯,板楼
哈西商圈,辰能溪树庭院,2室1厅,80,10811,南 西,74,31,简装,暂无数据
哈南商圈,鲁商·松江新城,2室1厅,133,14149,南 北,94,24,精装,板楼
宣西宣庆体院,理治街,1室1厅,25,7813,南,32,7,简装,板楼
宣西宣庆体院,宣西小区,2室1厅,65,9045,南,71.87,7,精装,板楼
马家沟校大成街,洁净街,2室1厅,50,8065,南,62,7,精装,板楼
南岗分局十三中,辽河小区,2室0厅,37,8526,南 北,43.4,7,简装,板楼
南岗会展商圈,泰海花园小区,2室1厅,135,13487,南 北,100.1,7,精装,板楼
南岗会展商圈,红旗示范新区,2室1厅,66.8,13859,南,48.2,7,精装,板塔结合
新发小区大润发,新发小区F区,2室1厅,60,9231,南 北,65,7,精装,板楼
海城市场商圈,营部街,3室1厅,86,7611,南 北,113,8,简装,板楼
哈西商圈,福顺尚都,1室1厅,76,12667,东南,60,31,精装,板楼
西大桥商圈,清明小头道街,1室1厅,28,8485,南,33,8,简装,板楼
南岗会展商圈,盟科视界,1室0厅,59.6,11687,南,51,31,精装,板楼
南岗会展商圈,盟科视界,1室1厅,60,11950,东,50.21,31,简装,板楼
宣西宣庆体院,十字街,2室1厅,78.8,8295,南 北,95,7,精装,板楼
南岗分局十三中,龙福家园(南岗区),2室1厅,105,10000,东 西,105,8,简装,板楼
哈西商圈,西典家园南区,1室1厅,57.9,12587,南,46,16,简装,板楼
哈西商圈,西典家园南区,1室1厅,55.9,10961,南,51,16,简装,板楼
哈西商圈,恒大珺庭,3室2厅,198,14169,南 北,139.75,23,精装,暂无数据
哈西商圈,盛世桃园,3室1厅,115,10850,南 北,106,8,简装,板楼
西大桥商圈,通达小区（红岩小学）,2室1厅,39.8,8454,南,47.08,7,精装,塔楼
西大桥商圈,北鸿花园,3室1厅,145,11789,南 北,123,7,其他,暂无数据
哈西商圈,悦城,2室1厅,145,15872,南,91.36,31,精装,板楼
哈西商圈,枫蓝国际,2室1厅,88.8,12165,西南,73,33,精装,板楼
革新教堂,巴山街,1室1厅,28,8236,南,34,6,精装,板楼
哈西商圈,壹品新境,1室0厅,66.5,13429,南,49.52,28,精装,板楼
儿童公园,比乐街,2室0厅,35,7778,南,45,7,简装,板楼
儿童公园,光芒街(永和街),2室1厅,45,8867,南 北,50.75,7,精装,板楼
儿童公园,省监察厅家属楼,2室1厅,62.8,8241,东 南 西,76.21,7,简装,板楼
宣西宣庆体院,哈尔滨市军队离休退休干部第二休养所,2室1厅,67,8032,南 北,83.42,7,简装,板楼
儿童公园,分部街,1室1厅,28.8,8229,西北,35,7,精装,板塔结合
哈西商圈,阳光家园二期,1室1厅,59.5,11458,西南,51.93,16,精装,板楼
哈特百脑汇教化工大,上夹树街,2室1厅,40,7548,南,53,7,简装,板楼
革新教堂,士课街(巴山街),2室1厅,45.5,8273,东 西,55,7,精装,板楼
南岗分局十三中,华山小区,1室1厅,31.5,9112,南 北,34.57,6,简装,板楼
师大附小沙曼小区,沙曼小区一街区,1室1厅,42.8,10138,东南,42.22,7,简装,板楼
南岗分局十三中,辽河小区,2室1厅,36,8572,东 西,42,7,简装,板楼
哈西商圈,柒零捌零城仕公馆,1室1厅,66,16915,南,39.02,31,精装,板楼
儿童公园,光芒街(永和街),3室1厅,58,7161,东 西,81,8,简装,板楼
哈西商圈,西典家园北区,2室1厅,119,11900,南 北 西,100,14,简装,板楼
儿童公园,中和街,2室1厅,46,8095,东 西,56.83,6,精装,板楼
哈特百脑汇教化工大,曲线街,2室1厅,37.5,8153,东南,46,7,简装,板楼
西大桥商圈,进化街,2室1厅,47.8,9959,南 北,48,8,简装,板楼
王岗商圈,哈西骏赫城,2室1厅,70,9211,南,76,14,毛坯,板楼
南岗分局十三中,华山小区,2室1厅,39.8,8653,南 北,46,7,简装,板楼
哈西商圈,金域蓝城,1室0厅,55,13497,西,40.75,29,简装,板楼
南岗会展商圈,天木小区,2室1厅,93,8692,南 北,107,7,简装,板楼
南岗分局十三中,先锋二区段,2室1厅,110,9017,东 西,122,7,简装,板楼
西大桥商圈,苗圃小区,2室2厅,159,10817,东南,147,18,简装,塔楼
南岗分局十三中,中植方洲苑,2室1厅,108,11369,南 北,95,6,简装,板楼
儿童公园,建新街,2室1厅,68,8000,南 北,85,7,精装,板楼
西大桥商圈,清明六道街,2室0厅,48.8,11091,南,44,7,精装,板楼
西大桥商圈,北鸿花园,2室1厅,92,11500,南,80,7,简装,塔楼
南岗分局十三中,中植方洲苑,3室2厅,109,9277,南 北,117.5,7,精装,板楼
革新教堂,文昌街,2室1厅,72.8,8218,南 北,88.59,8,精装,板楼
南岗分局十三中,龙福家园(南岗区),3室2厅,139,9653,南 北,144,8,简装,板楼
哈西商圈,中海·雍景熙岸,3室2厅,190,18015,南 北,105.47,34,毛坯,板楼
南岗会展商圈,红旗示范新区,3室1厅,106,11778,南 北,90,7,简装,板楼
儿童公园,分部街,2室1厅,48.8,8272,东 西,59,7,精装,板楼
师大附小沙曼小区,和兴名家,3室1厅,159,18722,东 西,84.93,7,精装,板楼
哈特百脑汇教化工大,瓦街,2室1厅,55,9928,南 北,55.4,7,简装,暂无数据
哈特百脑汇教化工大,铁工街,2室1厅,58,10000,南 北,58,7,简装,暂无数据
南岗分局十三中,中植方洲苑,3室1厅,92,11500,南 北,80,7,精装,板楼
南岗分局十三中,龙福家园(南岗区),3室2厅,135,8545,南 北,158,8,简装,板楼
哈特百脑汇教化工大,桥北新城,2室1厅,152,12774,南 北,119,17,精装,板楼
哈南商圈,学府青年城,2室1厅,56,10182,南,55,17,其他,板楼
哈西商圈,天悦国际,2室1厅,119.8,14571,南 北,82.22,26,精装,板楼
哈西商圈,南郡·香醍雅诺,2室1厅,85,11097,东,76.6,27,精装,板楼
哈南商圈,鲁商·松江新城,2室1厅,136,14441,南 北,94.18,24,其他,板楼
哈南商圈,征跃小区,2室1厅,46,6302,南,73,18,精装,板楼
团结萧红校哈站北秀宾馆,海城街,1室1厅,44.8,11790,西南,38,7,简装,板楼
王岗商圈,哈西骏赫城,2室1厅,77.5,10088,西南,76.83,13,精装,板楼
哈西商圈,辰能·溪树庭院南区,3室2厅,245,18420,南 北,133.01,17,毛坯,板楼
马家沟校大成街,芦家街,2室1厅,58.8,9029,南 北,65.13,4,精装,板楼
南岗分局十三中,华山小区,1室1厅,24.8,7364,东 西,33.68,7,简装,板楼
哈特百脑汇教化工大,铁工街,2室1厅,49.8,9588,西南 东北,51.94,7,精装,板塔结合
南岗分局十三中,中植方洲苑,2室2厅,114.5,9762,南 北,117.3,7,简装,板楼
南岗会展商圈,红旗示范新区,1室1厅,56,14737,西,38,8,简装,板楼
南岗会展商圈,信恒现代城,1室0厅,49,15807,东,31,13,简装,塔楼
南岗分局十三中,马端小区,1室1厅,69.8,7609,南 北,91.74,8,精装,板楼
南岗分局十三中,辽河小区,2室1厅,49,10000,南 北,49,7,精装,板楼
南岗会展商圈,信恒现代城,3室1厅,103.8,10592,南 北,98,7,精装,板塔结合
西大桥商圈,苗圃小区,2室1厅,78,15446,南 北,50.5,7,其他,板楼
哈西商圈,辰能·溪树庭院南区,3室2厅,288,19863,南 北,145,20,毛坯,板楼
先锋路商圈,国际会展名城,3室2厅,178,12771,东 南 北,139.38,18,精装,板楼
哈南商圈,鲁商·松江新城,3室2厅,186,13479,南 北,138,28,精装,板楼
西大桥商圈,汉广街,1室1厅,38,8637,南 北,44,8,精装,板楼
