具体地址,小区名称,格局,总价,每平米价格,朝向,面积,楼层,装修,房屋结构
师大附小沙曼小区,双兴小区,2室1厅,85,11919,西南 东北,71.32,7,精装,板塔结合
花园铁岭继红校,马家街,1室1厅,163,18315,东,89,8,精装,板楼
哈西商圈,阳光家园北区,2室1厅,110,11549,南 北,95.25,7,简装,板楼
马家沟校大成街,洁净街,2室1厅,78,9177,南 北,85,7,精装,板楼
儿童公园,比乐街,2室1厅,39,8667,南 北,45,8,简装,板楼
师大附小沙曼小区,沙曼小区六街区,2室1厅,45,10784,西,41.73,7,简装,板楼
革新教堂,巴陵街,1室1厅,32.8,9850,南,33.3,7,精装,板楼
海城市场商圈,联部街,2室1厅,50,8475,东 西,59,7,简装,板楼
哈西商圈,和谐家园(南岗区),2室1厅,125,10272,南 北,121.7,7,其他,板楼
哈西商圈,金海城,2室1厅,40,5715,东南 西南,70,7,简装,板楼
南岗分局十三中,金河小区,2室1厅,34,5667,南 北,60,7,简装,板楼
南岗分局十三中,辽河小区,2室1厅,40,8511,东 西,47,7,简装,板楼
革新教堂,黑山街,2室1厅,64.8,10800,东 西,60,7,精装,板楼
儿童公园,分部街,1室1厅,42.8,9728,南,44,7,简装,板楼
花园铁岭继红校,龙兴大厦,2室1厅,120,21429,南,56,20,简装,板楼
哈特百脑汇教化工大,木工街,2室1厅,33,9706,南 北,34,7,简装,板塔结合
哈南商圈,鲁商·松江新城,2室1厅,135,14362,南 北,94,24,精装,板楼
儿童公园,分部街,2室1厅,63.8,10353,南 北,61.63,7,精装,板楼
哈南商圈,鲁商·松江新城,2室1厅,185,14800,南 北,125,24,精装,板楼
哈西商圈,盛世桃园,2室1厅,76.5,9968,南 北,76.75,8,精装,板楼
哈南商圈,鲁商·松江新城,2室2厅,138,14713,南 北,93.8,27,精装,板楼
儿童公园,连戎街,2室1厅,50,8334,西南,60,6,简装,板楼
花园铁岭继红校,铁岭街,2室1厅,98,23903,东 西,41,8,精装,板楼
师大附小沙曼小区,利兴小区,2室1厅,64.8,9279,南,69.84,8,精装,板楼
师大附小沙曼小区,林海华庭,2室1厅,180,13954,南 北,129,31,简装,板楼
师大附小沙曼小区,师大家属楼,2室1厅,180,23077,南 北,78,8,简装,板塔结合
哈西商圈,中海·雍景熙岸,2室1厅,152.8,17439,南 北,87.62,33,精装,板楼
革新教堂,巴陵街,2室1厅,57,8383,南 北,68,7,精装,板楼
革新教堂,革新街,2室1厅,33,5690,南 北,58,7,简装,板楼
儿童公园,人和街,1室1厅,27.5,8594,西,32,8,精装,板楼
儿童公园,人和街,2室1厅,49,7904,南 北,62,8,简装,板楼
宣西宣庆体院,宣文街,2室1厅,49.8,9397,南 北,53,6,精装,板楼
革新教堂,巴陵街,2室1厅,56.8,10328,南 北,55,7,精装,板楼
哈西商圈,华润·凯旋门,2室1厅,152.8,18191,南 北,84,31,精装,板楼
宣西宣庆体院,宣西小区,1室1厅,47.5,8145,南,58.32,7,精装,板楼
哈西商圈,大众新城,2室1厅,106.8,10367,南 北,103.02,7,毛坯,板塔结合
儿童公园,永和街,2室1厅,55,9338,东 西,58.9,7,简装,板塔结合
船舶军工,文化小区(南岗区),2室1厅,37.8,6518,南 北,58,8,简装,板楼
马家沟校大成街,金丰优豪斯,1室1厅,40,15924,南,25.12,25,精装,板楼
儿童公园,馥瑞大厦,2室1厅,116,11214,南 西,103.45,18,精装,板楼
哈西商圈,保利颐和家园,2室1厅,135,13656,南 北,98.86,7,简装,板楼
革新教堂,黑山街,2室1厅,34,6800,南 北,50,7,简装,板楼
宣西宣庆体院,理治街,2室1厅,42,7925,东 西,53,7,精装,板楼
儿童公园,中和街,2室1厅,43.8,7609,西,57.57,7,简装,板楼
哈南商圈,鲁商·松江新城,2室2厅,167.8,14101,南 北,119,18,精装,板楼
儿童公园,光芒街(永和街),2室1厅,61,6355,南 北,96,8,简装,板楼
宣西宣庆体院,海富金棕榈,2室1厅,190,16451,南 北,115.5,32,精装,板楼
革新教堂,雨阳街,2室2厅,56,6250,东 西,89.61,6,精装,板楼
西大桥商圈,宏业小区,3室1厅,59.8,6041,南 北,99,7,简装,板楼
儿童公园,中和街,1室1厅,35,10938,南,32,6,精装,板楼
南岗分局十三中,先锋领地,3室1厅,184,12816,东 西,143.58,9,精装,板楼
海城市场商圈,文道雅居,2室1厅,62.6,7488,南 北,83.61,8,精装,板楼
哈特百脑汇教化工大,下夹树街,1室1厅,35,10356,东南,33.8,7,简装,板塔结合
船舶军工,星源国际康养中心,3室1厅,248,13508,南 北,183.6,28,精装,塔楼
龙塔,信恒花园,3室2厅,80,6061,南 北,132,7,简装,板楼
哈西商圈,纳帕英郡,4室2厅,295,16858,南 北,175,33,精装,板楼
哈西商圈,哈理工大学住宅楼,3室1厅,70,7000,南 北,100,7,简装,板楼
哈西商圈,万达华宅E区,3室2厅,235,18175,南 北,129.3,31,精装,板楼
花园铁岭继红校,江南国际大厦,3室1厅,260,12307,东南,211.27,29,精装,板楼
哈西商圈,中海·雍景熙岸,3室1厅,270,21029,南 北,128.4,34,精装,板楼
复华校国展工大附中,隆庆河畔家园,2室2厅,238,15996,南 北,148.79,19,简装,板楼
哈西商圈,四季芳洲,3室2厅,140,8485,南 北,165,8,精装,板楼
哈西商圈,涧桥西畔,3室2厅,205,16142,南,127,30,精装,板楼
哈西商圈,学府花园,2室1厅,92,8071,南 北,113.99,8,简装,塔楼
哈西商圈,四季芳洲,3室2厅,125,8956,南 北,139.58,8,精装,板楼
南岗会展商圈,阳光绿色家园,2室1厅,102,11750,南 北,86.81,7,精装,板楼
西大桥商圈,宏业小区,3室2厅,80,5939,南 北,134.72,6,精装,板楼
海城市场商圈,文林小区,3室2厅,98,6054,东 西,161.88,8,简装,板楼
哈西商圈,纳帕英郡,3室1厅,229,18569,南 北,123.33,33,精装,板楼
仪兴商圈,仪兴小区,3室2厅,158,9119,南 北,173.28,8,精装,板楼
哈西商圈,大众新城三期,3室2厅,128,8137,南 北,157.32,7,简装,暂无数据
哈西商圈,枫蓝国际,2室1厅,100,12576,西南,79.52,33,简装,板楼
哈西商圈,东辉明珠园,3室2厅,180,13763,东 西,130.79,6,简装,板楼
哈西商圈,福顺尚都,3室1厅,196,13240,南 北,148.04,30,简装,板楼
西大桥商圈,元和街,2室2厅,103,9364,南 北,110,7,精装,板楼
哈西商圈,涧桥西畔,3室2厅,218,16322,北 西南,133.57,30,精装,板楼
南岗分局十三中,先锋二区段,3室2厅,117,7690,东南,152.16,7,精装,板楼
哈特百脑汇教化工大,铁路街,3室1厅,65,9061,南 北,71.74,8,简装,板楼
海城市场商圈,恒运花园,3室2厅,179.8,10331,西北 东北,174.05,30,简装,板楼
哈西商圈,学府花园,3室2厅,159,10325,南 北,154,8,精装,塔楼
哈西商圈,东辉明珠园,3室2厅,220,16262,南 北 东,135.29,18,精装,板楼
哈西商圈,悦城,2室2厅,180,16153,南 北,111.44,18,其他,板楼
哈西商圈,西典家园北区,1室1厅,65,13553,南,47.96,17,其他,板楼
哈西商圈,纳帕英郡,2室1厅,150,17424,南,86.09,33,其他,板塔结合
哈西商圈,学院新城一期,2室1厅,56,10655,南 北,52.56,7,其他,板楼
哈西商圈,金域蓝城,2室2厅,135,17279,南,78.13,29,其他,板楼
哈南商圈,英伦名邸,2室1厅,123.7,11477,东 西,107.79,18,其他,板楼
儿童公园,建新街,2室1厅,37,8088,南 北,45.75,7,其他,板楼
哈西商圈,南郡·香醍雅诺,1室1厅,108,18396,南,58.71,18,其他,板楼
南岗分局十三中,金河小区,2室1厅,33,6875,南,48,8,其他,板楼
哈西商圈,中海·雍景熙岸,2室1厅,76,16627,西南,45.71,18,其他,板楼
哈西商圈,南郡·香醍雅诺,2室1厅,135,16911,南,79.83,18,其他,板楼
南岗会展商圈,阳光绿色家园,2室1厅,107,13235,东 西,80.85,8,其他,板楼
哈西商圈,涧桥西畔,1室1厅,107,15398,南,69.49,27,其他,板楼
哈西商圈,恒大珺庭,3室2厅,270,18621,南 北,145,27,精装,板楼
宣西宣庆体院,宣西小区,3室1厅,68,5191,东 西,131,7,简装,板楼
哈特百脑汇教化工大,曲线街,3室1厅,58,8000,东 西,72.5,6,毛坯,板楼
西大桥商圈,七政街,4室1厅,160,9412,南 北,170,8,简装,板楼
儿童公园,分部街,2室1厅,73.8,9000,南 北,82,7,简装,板塔结合
哈特百脑汇教化工大,宏桥小区,4室1厅,155,11072,南 东 北,140,7,简装,板楼
哈西商圈,恒大珺庭,3室1厅,215,16033,东 西,134.1,27,其他,板楼
哈西商圈,龙泽金水尚都西区,3室2厅,245,14136,南 北,173.32,29,其他,暂无数据
哈西商圈,中海·雍景熙岸,2室1厅,58,15567,西南,37.26,18,其他,板楼
西大桥商圈,西伯街,2室1厅,43.8,7964,南 北,55,8,其他,板楼
哈西商圈,巴黎第五区,2室1厅,146.8,16711,南 西,87.85,31,简装,板楼
儿童公园,永和街,1室1厅,31.5,7667,南,41.09,7,简装,板楼
团结萧红校哈站北秀宾馆,邮政街(上夹树街),2室1厅,83,13175,南 北,63,6,精装,板楼
仪兴商圈,康宁小区,2室2厅,115,9699,南 北,118.58,7,简装,板楼
西大桥商圈,七政街,3室1厅,58,8056,南 北,72,7,简装,塔楼
师大附小沙曼小区,寒地设计院家属楼,2室1厅,82.8,9921,南,83.46,8,简装,板楼
船舶军工,极乐二道街,1室1厅,34,7519,南,45.22,7,简装,板楼
师大附小沙曼小区,沙曼小区五街区,1室1厅,32,8989,南,35.6,7,简装,板楼
哈西商圈,南郡·香醍雅诺,1室1厅,138,17038,南,81,17,精装,板楼
哈西商圈,壹品新境,2室1厅,155.9,13543,南 北,115.12,25,简装,板楼
哈西商圈,悦城,2室1厅,192,16552,南 北,116,18,简装,板楼
儿童公园,中和街,1室0厅,18.8,6232,北,30.17,6,精装,板楼
哈西商圈,阳光家园北区,2室1厅,95,10348,南 北,91.81,18,简装,板楼
哈西商圈,涧桥西畔,2室1厅,149,14769,东 南 西,100.89,25,简装,板楼
宣西宣庆体院,平治街,2室1厅,50,7853,南 北,63.67,6,简装,暂无数据
龙塔,市检察院家属楼,1室1厅,58.8,13977,南,42.07,6,精装,板塔结合
儿童公园,光芒街(永和街),2室1厅,69.9,8150,南 北,85.77,6,精装,板楼
师大附小沙曼小区,振兴街,3室2厅,68,6527,东 西,104.19,8,简装,板楼
儿童公园,崇乐街,2室1厅,51.8,8458,东 西,61.25,7,精装,板楼
哈西商圈,龙泽金水尚都西区,2室1厅,107,14868,南,71.97,25,精装,板楼
西大桥商圈,新七政小区,2室1厅,80,8792,西南,91,8,其他,板楼
龙塔,香榭丽苑,5室2厅,268,12018,东 南,223,28,其他,塔楼
海城市场商圈,文林街,3室2厅,107,6853,南 西南,156.15,8,其他,板楼
海城市场商圈,天马世纪花园,3室1厅,176,8889,东 西,198,16,其他,板楼
西大桥商圈,北鸿花园,2室1厅,160,14286,南,112,16,其他,塔楼
海城市场商圈,文林街,2室2厅,89,8241,东 西,108,5,其他,暂无数据
西大桥商圈,北鸿花园,2室1厅,80,9877,东南,81,7,其他,板楼
哈南商圈,鲁商·松江新城,4室2厅,210,12210,南 北,172,24,其他,板楼
哈西商圈,恒大翡翠华庭,2室1厅,136.8,15725,南,87,30,精装,板楼
革新教堂,革新街,2室1厅,46,6765,南 北,68,7,简装,板楼
海城市场商圈,第二巴陵街,1室1厅,29.5,8429,南,35,8,精装,板楼
革新教堂,士课街(巴山街),1室1厅,39.8,9150,东南,43.5,7,精装,板楼
新发小区大润发,新发小区B区,2室1厅,45,8654,南,52,8,简装,板楼
哈南商圈,红星家园,2室1厅,43.8,6084,南 北,72,7,精装,板楼
新发小区大润发,新发小区,1室1厅,25,7907,西南,31.62,9,简装,板楼
哈西商圈,辰能溪树庭院,2室1厅,185,17892,东 南 北,103.4,18,简装,板楼
西大桥商圈,清滨路,2室1厅,38.5,6040,南,63.75,7,简装,暂无数据
哈西商圈,鸿朗花园南区,2室1厅,99,9391,南 北,105.43,22,毛坯,板塔结合
花园铁岭继红校,建设街,2室1厅,66,15278,南 北,43.2,7,简装,板楼
仪兴商圈,康宁小区,2室1厅,59.8,8364,南 北,71.5,7,简装,板楼
哈西商圈,龙泽金水尚都西区,2室1厅,130,14445,南 北,90,31,简装,板楼
哈西商圈,西典家园北区,2室1厅,125,12237,南 北,102.15,7,毛坯,板楼
南岗分局十三中,辽河小区,2室1厅,69.8,8513,东 西,82,7,精装,板塔结合
哈西商圈,西典家园北区,2室1厅,125,12237,南 北,102.15,7,毛坯,板楼
哈西商圈,投资专科家属小区,2室1厅,48,7742,东 西,62,7,简装,暂无数据
海城市场商圈,小文明街,2室1厅,62.5,8334,南 北,75,5,精装,暂无数据
海城市场商圈,营部街,2室1厅,75,8334,南 北,90,7,简装,板楼
哈西商圈,农建新苑,2室1厅,68,7607,北 南,89.4,11,简装,板塔结合
南岗分局十三中,华山小区,1室1厅,30,8334,西,36,7,简装,板楼
师大附小沙曼小区,沙曼小区一街区,2室1厅,92.8,9667,南 北,96,7,简装,板楼
革新教堂,黑山街,2室1厅,52,5307,南 北,98,7,精装,板楼
儿童公园,中和街,2室1厅,65.8,8808,南,74.71,8,简装,板楼
儿童公园,比乐街,2室1厅,47.8,8426,东 西,56.73,7,精装,板楼
宣西宣庆体院,宣西小区,2室1厅,33,6056,东,54.5,8,精装,板楼
师大附小沙曼小区,沙曼小区五街区,1室1厅,30,9091,西,33,7,简装,板楼
哈西商圈,大众新城二期,2室1厅,75,11195,南 北,67,7,精装,板塔结合
南岗分局十三中,先锋二区段,2室1厅,86,11026,东南,78,7,简装,板楼
儿童公园,人和街,2室0厅,38,7776,南,48.87,8,简装,板楼
花园铁岭继红校,省建委房产,1室1厅,120,25189,北,47.64,7,毛坯,板楼
哈西商圈,东方新天地,2室1厅,148,17620,南 北,84,27,精装,板楼
哈西商圈,鸿朗花园南区,1室1厅,61,12386,南,49.25,22,简装,板塔结合
南岗会展商圈,阳光绿色家园,2室1厅,121,13153,南 北,92,6,精装,板楼
革新教堂,巴陵街,2室0厅,25.5,5789,南,44.05,7,毛坯,板楼
哈特百脑汇教化工大,桥西小区,2室0厅,43,4854,南 北,88.59,8,简装,板楼
宣西宣庆体院,理治街,1室1厅,40.8,10462,西,39,7,简装,板楼
马家沟校大成街,芦家街,2室1厅,52.8,9815,南 北,53.8,6,精装,板楼
南岗会展商圈,泰海花园小区,2室1厅,100,13334,南,75,7,简装,板楼
宣西宣庆体院,宣西小区,2室1厅,55,9483,南 北,58,7,精装,板楼
宣西宣庆体院,宣西小区,2室1厅,66.8,9682,南,69,8,精装,板楼
先锋路商圈,黄河绿园B区,2室2厅,133,11084,东 西,120,7,简装,板楼
哈西商圈,辰能溪树庭院,3室2厅,600,26986,南 北,222.34,5,精装,板楼
龙塔,第二方园里,2室1厅,40.8,7472,南,54.61,6,简装,板楼
西大桥商圈,七政公寓,1室1厅,77,13626,南,56.51,7,简装,板楼
仪兴商圈,康宁小区,2室1厅,69,6784,南 北,101.71,7,简装,板楼
哈西商圈,纳帕英郡,2室1厅,188,17972,南 北,104.61,33,精装,板楼
西大桥商圈,清明小区四街道,1室1厅,27.8,6007,南,46.28,7,简装,板楼
哈南商圈,学府青年城,2室1厅,73.8,10110,东南,73,18,简装,板楼
哈西商圈,金域蓝城,2室1厅,109,13941,南,78.19,29,精装,板楼
哈西商圈,万达华府C区,2室2厅,150,16537,南 北,90.71,31,其他,板楼
哈西商圈,福顺尚都,1室1厅,84,11902,北,70.58,31,其他,板塔结合
哈西商圈,金爵万象,1室1厅,73,16401,西北,44.51,16,其他,板楼
革新教堂,革新街,1室1厅,43.8,8939,南,49,8,其他,板楼
哈西商圈,征仪路花园小区A区西区,2室2厅,78,8588,南 北,90.83,7,其他,板楼
师大附小沙曼小区,沙曼小区三街区,3室1厅,65,11068,南,58.73,7,其他,板楼
南岗会展商圈,信恒现代城,2室1厅,112,14110,南 北,79.38,7,简装,板楼
南岗会展商圈,盟科视界,1室1厅,62,12941,北,47.91,31,其他,板楼
哈西商圈,西城丽景,1室1厅,73.5,15632,南,47.02,25,其他,塔楼
儿童公园,人和街,2室1厅,36.5,7483,南 北,48.78,8,简装,板楼
花园铁岭继红校,花园街,2室0厅,85,20239,西,42,6,其他,板楼
儿童公园,中和街,1室1厅,32,9412,南,34,7,其他,板楼
革新教堂,革新街,2室1厅,72,14400,南 北,50,7,其他,板楼
南岗分局十三中,鼎新小区,3室1厅,38,4171,南,91.11,7,其他,板楼
哈西商圈,盛世桃园,2室1厅,86,9899,南 北,86.88,7,其他,板楼
海城市场商圈,联部街,2室1厅,41,7069,西南,58,7,其他,板楼
师大附小沙曼小区,沙曼小区一街区,2室1厅,75,10333,东 西,72.59,7,其他,板塔结合
新发小区大润发,新发小区,2室1厅,45,8426,东 西,53.41,8,其他,板楼
师大附小沙曼小区,文化厅宿舍楼小区,2室1厅,136,17436,北 南,78,7,其他,暂无数据
哈南商圈,鲁商·松江新城,2室1厅,142,15107,南 北,94,22,其他,板楼
哈南商圈,锦绣华城,1室1厅,46.8,9958,东,47,18,其他,板塔结合
哈西商圈,壹品新境,1室0厅,64.8,15429,西南,42,28,其他,板楼
哈南商圈,征仪花园F区,2室1厅,68.8,7899,南 西 北,87.1,6,其他,暂无数据
哈西商圈,哈西万达SOHO公寓,1室1厅,49,9800,南,50,30,其他,板楼
西大桥商圈,清明小区（新区）,1室1厅,62,16316,南 北,38,7,精装,板楼
南岗会展商圈,红旗示范新区,2室1厅,120,14815,南 北,81,8,简装,板楼
新发小区大润发,新发小区F区,2室1厅,135,9000,西南,150,18,精装,板楼
哈南商圈,鲁商·松江新城,3室2厅,185,13358,南 北,138.5,28,精装,板楼
哈西商圈,保利颐和家园,3室2厅,179.9,12759,南 北,141,7,精装,板楼
南岗会展商圈,红旗示范新区,3室3厅,149.8,6904,南 北,217,8,其他,板楼
新发小区大润发,新发小区F区,2室2厅,120,8164,南 西,147,18,简装,板楼
万达商圈,星河国际  湘江路,2室1厅,137,12686,东南,108,32,毛坯,塔楼
哈西商圈,龙泽金水尚都西区,3室2厅,235,15260,南 北,154,29,精装,暂无数据
海城市场商圈,文成花园,3室1厅,145,9063,南 北,160,8,简装,板楼
宣西宣庆体院,大成街,3室2厅,82,6075,西南,135,8,简装,板楼
复华校国展工大附中,复华小区北区,2室1厅,105,17903,南,58.65,8,简装,板楼
哈特百脑汇教化工大,桥北新城,2室1厅,98,10597,南,92.48,17,精装,板楼
团结萧红校哈站北秀宾馆,邮政街(上夹树街),2室1厅,146,29796,南,49,8,其他,板塔结合
西大桥商圈,通达小区,2室1厅,50,9260,南 北,54,8,简装,暂无数据
儿童公园,光芒街(永和街),3室1厅,75.8,6214,南 北,122,8,简装,板楼
哈西商圈,大众新城二期,5室2厅,160,6570,南 北,243.55,7,精装,板塔结合
哈特百脑汇教化工大,下夹树街,2室1厅,95,10327,南 北,92,8,简装,板楼
哈西商圈,壹品新境,3室2厅,238,16302,南 北,146,28,精装,板楼
花园铁岭继红校,辽阳街,2室1厅,260,17688,南 北,147,8,简装,板塔结合
西大桥商圈,通达小区（红岩小学）,1室1厅,31,7381,南,42,7,精装,板楼
西大桥商圈,松明街,2室1厅,49.8,8780,南 北,56.72,7,简装,板楼
哈西商圈,恒祥城三期,2室1厅,92,15082,西南 西,61,31,精装,板楼
船舶军工,文化小区(南岗区),2室1厅,66.4,6776,南,98,7,精装,板楼
哈特百脑汇教化工大,瓦街,2室1厅,63.8,9969,南 北,64,6,简装,板楼
哈西商圈,南郡·香醍雅诺,2室1厅,225,19068,南 北,118,17,精装,板楼
龙塔,宣庆小区,2室1厅,78,8388,南 北,93,7,精装,板楼
复华校国展工大附中,复华小区北区,2室1厅,70,12963,南 北,54,6,精装,板楼
西大桥商圈,宏业小区,2室1厅,92,9685,东南,95,7,其他,板楼
哈西商圈,恒大翡翠华庭,3室2厅,205,17084,南 北,120,24,精装,板楼
王岗商圈,骏赫庄园,3室2厅,136,11057,南 北,123,14,简装,暂无数据
哈特百脑汇教化工大,曲线街,2室1厅,52,10527,南,49.4,7,简装,板楼
哈西商圈,阳光家园北区,3室1厅,79,10354,南 北,76.3,7,简装,板楼
龙塔,农垦小区,3室1厅,180,8818,南 北,204.13,5,简装,板楼
西大桥商圈,清明四道街,2室1厅,32,5080,南 北,63,7,简装,板楼
龙塔,世纪广场,3室1厅,173,10843,东北,159.56,32,简装,暂无数据
哈西商圈,纳帕英郡,3室2厅,198,16059,南 北,123.3,33,精装,板楼
万达商圈,长江路,1室0厅,257,14198,西,181.02,4,精装,暂无数据
哈西商圈,东辉明珠园,3室1厅,270,16984,南 北,158.98,17,简装,板楼
龙塔,吉星商住楼,3室2厅,198,13903,东 南 北,142.42,15,精装,塔楼
哈特百脑汇教化工大,桥北小区,2室1厅,62.8,10467,南 北,60,7,简装,板楼
西大桥商圈,元和街,2室1厅,43.8,7847,东南,55.82,6,精装,板楼
南岗分局十三中,龙福家园(南岗区),2室1厅,79.5,9938,东,80,7,毛坯,板楼
西大桥商圈,元士街,2室1厅,55,8731,南 北,63,8,简装,板楼
西大桥商圈,中兴阳光家园,2室1厅,140,15054,西南,93,32,精装,板楼
南岗分局十三中,龙福家园(南岗区),3室1厅,97,10946,南 北,88.62,7,精装,板楼
西大桥商圈,木兰街,2室1厅,69,11500,东南,60,6,简装,板楼
哈南商圈,鲁商·松江新城,3室2厅,145,10432,南 北,139,28,毛坯,板楼
师大附小沙曼小区,双兴小区,2室1厅,84.5,11576,南 北,73,7,精装,板塔结合
西大桥商圈,清明小头道街,2室1厅,70.8,9316,南 北,76,8,简装,暂无数据
省医院商圈,文和家园小区,2室1厅,88.5,9538,东,92.79,8,简装,板塔结合
革新教堂,名门公寓,3室2厅,210,12884,西北,163,24,简装,板楼
西大桥商圈,元和街,2室1厅,44.8,7944,南,56.4,6,精装,板楼
万达商圈,金马大厦兆祥宝座,3室2厅,185,10336,南 北,179,21,简装,塔楼
哈特百脑汇教化工大,曲线街,1室1厅,52,10000,南,52,7,简装,板楼
西大桥商圈,汉广街,2室1厅,48,9093,南 北,52.79,8,毛坯,板楼
哈特百脑汇教化工大,江城之珠,2室1厅,160,15135,南 北,105.72,28,精装,板楼
南岗会展商圈,信恒现代城,3室1厅,110,13581,南 北,81,7,简装,板塔结合
南岗会展商圈,盟科视界,3室2厅,268,13138,东 南 西,204,32,精装,板楼
团结萧红校哈站北秀宾馆,利群街,2室1厅,78,15295,南 北,51,6,精装,板楼
哈南商圈,鲁商·松江新城,3室2厅,186.5,13418,南 北,139,28,精装,板楼
马家沟校大成街,芦家街,3室2厅,120,9161,南 北,131,7,精装,板楼
儿童公园,光芒街(永和街),3室1厅,78,6555,南 北,119,7,简装,板楼
哈特百脑汇教化工大,新曲线小区,2室1厅,62.5,8562,南 北,73,8,精装,板楼
万达商圈,长江路,3室1厅,71,9919,南 北,71.58,6,简装,板楼
宣西宣庆体院,海富金棕榈,3室2厅,248,16847,东 西 南,147.21,31,精装,板楼
西大桥商圈,宏业小区,2室1厅,65,9286,南 北,70,7,简装,板楼
西大桥商圈,汉元街,2室1厅,109,14156,东 西,77,7,简装,板楼
团结萧红校哈站北秀宾馆,邮政街(上夹树街),2室1厅,40.5,8143,南 北,49.74,5,简装,板楼
南岗分局十三中,辽河小区,3室1厅,115,8215,南 西,140,7,简装,板楼
哈特百脑汇教化工大,桥西小区,2室0厅,52,9434,南 北,55.12,8,简装,板塔结合
龙塔,御景国际,2室1厅,175,13043,南 北 东,134.18,26,精装,板楼
哈特百脑汇教化工大,桥北小区,2室1厅,82,9648,东 南,85,7,简装,板楼
南岗分局十三中,龙福家园(南岗区),3室1厅,75,9616,东,78,7,简装,板楼
西大桥商圈,中兴阳光家园,2室1厅,79.8,14000,南 北,57,32,简装,板楼
西大桥商圈,七政街,2室1厅,43,8270,南,52,6,毛坯,板塔结合
宣西宣庆体院,新新家园,4室2厅,268,14807,南 北,181,12,精装,板楼
西大桥商圈,一匡小区,2室1厅,47,7834,南 北,60,8,简装,板楼
哈西商圈,大众新城二期,3室1厅,125,11364,南 北,110,7,精装,板塔结合
哈西商圈,辰能溪树庭院,3室2厅,515,25622,南 北,201,5,精装,板楼
哈西商圈,辰能溪树庭院,3室2厅,308.8,19363,南 北,159.48,24,精装,板楼
哈西商圈,辰能溪树庭院,3室2厅,310,21380,南 北,145,15,精装,板楼
哈西商圈,万达华府C区,2室1厅,198,18334,南 北,108,31,其他,板楼
西大桥商圈,汉广街,2室1厅,65,10336,南 北,62.89,8,其他,板楼
南岗会展商圈,盟科视界,3室2厅,200,10501,东 西,190.46,32,简装,板楼
哈西商圈,纳帕英郡,3室1厅,223,18069,南 北,123.42,33,精装,板塔结合
哈西商圈,悦城,3室1厅,210,14823,南 北,141.68,18,其他,板楼
龙塔,宣庆小区,2室1厅,75,8012,南 北,93.62,7,其他,板楼
海城市场商圈,文平街,1室1厅,42.5,8961,东 西,47.43,7,精装,板楼
哈南商圈,鲁商·松江新城,3室1厅,225,12780,南 东,176.06,18,其他,板楼
哈西商圈,南郡·香醍雅诺,4室2厅,440,18125,南 北,242.76,17,其他,板楼
海城市场商圈,文府街,3室1厅,80,8775,南 西,91.17,7,其他,板塔结合
海城市场商圈,中山花园,3室1厅,189,10599,西北,178.32,28,其他,板塔结合
哈西商圈,和谐家园(南岗区),3室2厅,95,8879,南 北,107,7,简装,板楼
哈西商圈,中海·雍景熙岸,3室1厅,215,19704,南 北,109.12,34,其他,板楼
哈西商圈,中海·雍景熙岸,3室1厅,215,18643,南 北,115.33,34,其他,板楼
哈西商圈,盛世桃园,2室1厅,110,11452,南 北,96.06,7,其他,板楼
哈南商圈,锦绣华城滨园,3室1厅,115,10302,南 北,111.63,30,其他,板楼
南岗会展商圈,信恒现代城,3室2厅,193,14271,北 南,135.24,8,简装,板塔结合
海城市场商圈,文海溪畔,2室1厅,123,12681,东 南 西,97,30,其他,板楼
哈西商圈,金域蓝城,2室1厅,165,14148,北 南 西,116.63,30,其他,板楼
宣西宣庆体院,马端街,2室2厅,74,7116,南 北,104,7,其他,塔楼
西大桥商圈,木兰街,2室1厅,84.8,13678,南 北,62,8,其他,板楼
省医院商圈,文和家园小区,2室1厅,88,10439,东 西,84.3,8,其他,板塔结合
西大桥商圈,北鸿花园,2室1厅,71,8988,南 北,79,7,其他,板楼
南岗会展商圈,盟科视界,3室2厅,270,13171,南 北,205,31,其他,板楼
海城市场商圈,恒运花园,4室2厅,380,12026,南 西,316,28,其他,板楼
南岗会展商圈,泰海花园小区,4室1厅,368,15207,南 北,242,7,其他,板楼
复华校国展工大附中,耀景街,2室1厅,76,13819,南,55,7,其他,板楼
西大桥商圈,世纪嘉园(南岗区),2室1厅,160,16843,东南,95,33,其他,板楼
哈西商圈,领域佳境,3室2厅,145,11418,东 南 北,127,16,其他,板楼
哈西商圈,辰能溪树庭院,3室2厅,550,19643,北 南,280,5,其他,板楼
南岗会展商圈,盟科视界,2室1厅,215,15809,南 北,136,32,其他,板楼
海城市场商圈,文林街,2室1厅,58,9063,南 北,64,7,其他,板楼
西大桥商圈,清明小区（新区）,2室1厅,40.8,9988,东 西,40.85,7,其他,板楼
西大桥商圈,七政街,2室1厅,55.8,11160,南,50,8,其他,板楼
哈西商圈,征仪路花园小区B区,3室1厅,110,9910,东 南 西,111,7,其他,板楼
宣西宣庆体院,宣化街,车位,57,11435,南,49.85,49.85,暂无数据,暂无数据
新发小区大润发,新发小区,2室2厅,120,8203,南 北 西,146.3,9,其他,暂无数据
哈西商圈,西典家园南区,3室2厅,175,10737,东 西,163,17,其他,板楼
哈西商圈,巴黎第五区,4室2厅,370,20109,南 北,184,11,其他,板楼
西大桥商圈,苗圃小区,2室1厅,78,15919,南,49,7,其他,板楼
